Address,Time,Current Speed,FreeFlow Speed,Jam Factor,Confidence
Nettakallappa Circle,2019-10-26T02:47:07Z,11.0,21.0,4.47619,0.7
S Sajjan Rao Circle,2019-10-26T02:48:06Z,8.0,14.0,2.85714,0.7
Vanivilas Road/Sri Krishna Rajendra Road,2019-10-26T02:48:06Z,7.0,18.0,6.06349,0.7
S Sajjan Rao Circle,2019-10-26T02:48:06Z,15.0,26.0,4.10989,0.7
Bull Temple Road,2019-10-26T02:47:15Z,8.0,19.0,5.72932,0.7
K R Road/Sri Krishna Rajendra Road/V V Puram Diagonal Road,2019-10-26T02:47:15Z,15.0,33.0,6.20779,0.7
Kanakapura Main Road/Sri Vasavi Temple Road,2019-10-26T02:47:15Z,10.0,22.0,5.55844,0.7
Basavangudi,2019-10-26T02:47:15Z,14.0,24.0,3.88888,0.7
Basavangudi,2019-10-26T02:47:47Z,14.0,33.0,6.64069,0.7
Kanakapura Main Road/Sri Vasavi Temple Road,2019-10-26T02:47:47Z,15.0,26.0,4.10989,0.7
K R Road/Sri Krishna Rajendra Road/V V Puram Diagonal Road,2019-10-26T02:47:47Z,20.0,34.0,4.33613,0.7
Bull Temple Road,2019-10-26T02:47:47Z,18.0,30.0,4.0,0.7
Mount Joy Road,2019-10-26T02:48:06Z,7.0,22.0,7.50649,0.7
4th Main Road,2019-10-26T02:48:06Z,12.0,24.0,5.07142,0.7
5th Main Road/Puttanna Chetty Road,2019-10-26T02:48:06Z,9.0,18.0,4.47619,0.7
Sajjan Rao Road/Diagonal Road/S. Sajjan Rao Circle/Sajjan Park Circle,2019-10-26T02:48:06Z,14.0,24.0,3.88888,0.7
NH-209/Sri Krishna Rajendra Road/K. R. Road,2019-10-26T02:48:06Z,9.0,23.0,6.54658,0.7
NH-209/Sri Krishna Rajendra Road/K. R. Road,2019-10-26T02:48:06Z,8.0,12.0,1.11111,0.7
Sajjan Rao Road/Diagonal Road/S. Sajjan Rao Circle/Sajjan Park Circle,2019-10-26T02:48:06Z,9.0,16.0,3.33333,0.7
Hayavadawana Road,2019-10-26T02:48:06Z,7.0,20.0,6.85714,0.7
Ram Mandir Road/Sri Ramanjaneya Road,2019-10-26T02:48:06Z,10.0,16.0,2.5,0.7
Ram Mandir Road/Sri Ramanjaneya Road,2019-10-26T02:48:06Z,14.0,26.0,4.65934,0.7
Hayavadawana Road,2019-10-26T02:48:06Z,12.0,26.0,5.75824,0.7
Brindavan Nagar Main Road/Hindu Maha Sagar Road/Lakshmipura Main Road,2019-10-26T02:48:06Z,11.0,23.0,5.30434,0.7
Sri Ramanjaneya Road,2019-10-26T02:48:06Z,12.0,20.0,3.33333,0.7
